zone,state_group,year,crop,area_ha,production_tonnes,yield_hg_ha,rainfall_mm_annual,temp_avg_celsius,humidity_pct,solar_radiation,latitude,longitude,fertilizer_n_kg,fertilizer_p_kg,fertilizer_k_kg,fertilizer_total_kg,fertilizer_n_kg_zone,fertilizer_p_kg_zone,fertilizer_k_kg_zone,fertilizer_total_kg_zone,fertilizer_kg_ha,wb_fertilizer_kg_ha,agric_gdp_share,rural_population,palm_area_kha,palm_production_kmt,palm_dom_consumption_kmt,palm_exports_kmt,palm_imports_kmt,palm_ending_stocks_kmt,cassava_usda_area_kha,cassava_usda_production_kmt,cassava_usda_exports_kmt
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2000,Cassava,682000,7040000,103226,1043.5,27.17397599057155,55.123208064296755,20.610638737852526,9.0,7.5,128000000,42000000,12000000,182000000,28160000.0,9240000.0,2640000.0,40040000.0,58.71,5.35714285714286,21.3572412972176,71686040,2120,720,740.0,10,30.0,45.0,3100,32000,200
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2001,Cassava,704000,7480000,106250,1016.1,27.888645716063188,53.820047749439915,20.803693808015325,9.0,7.5,132000000,44000000,13000000,189000000,29040000.0,9680000.0,2860000.0,41580000.0,59.06,6.19898460071246,24.4753546604632,72559112,2150,740,760.0,10,30.0,45.0,3200,34000,210
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2002,Cassava,743600,8349660,112284,1042.8,27.965647334010782,49.56453934017606,21.096739963024447,9.0,7.5,138000000,46000000,14000000,198000000,30360000.0,10120000.0,3080000.0,43560000.0,58.58,4.31467159829635,36.9650826661797,73437219,2180,760,790.0,10,30.0,40.0,3380,37953,220
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2003,Cassava,785400,8800000,112045,1052.7,27.537620174797016,55.5052580749828,20.840189660820243,9.0,7.5,142000000,48000000,14500000,204500000,31240000.0,10560000.0,3190000.0,44990000.0,57.28,6.01738570508693,33.8270605515687,74312783,2220,780,810.0,10,30.0,40.0,3570,40000,220
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2004,Cassava,818400,9550200,116694,1109.5,27.246484375270768,55.44622882304121,19.795044925297375,9.0,7.5,148000000,50000000,15000000,213000000,32560000.0,11000000.0,3300000.0,46860000.0,57.26,4.44963777237,27.2304536006497,75184138,2260,800,840.0,10,30.0,40.0,3720,43410,230
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2005,Cassava,840400,10058620,119688,1064.9,27.36978167230721,58.94918813148577,20.17091074217158,9.0,7.5,155000000,52000000,15500000,222500000,34100000.0,11440000.0,3410000.0,48950000.0,58.25,7.24118271756749,26.0892828250796,76038866,2290,820,860.0,10,40.0,40.0,3820,45721,240
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2006,Cassava,858000,10574080,123241,832.8,26.58611878024262,50.362974593733355,20.343898409090908,9.0,7.5,162000000,54000000,16000000,232000000,35640000.0,11880000.0,3520000.0,51040000.0,59.49,10.3152677723795,24.7349912601339,76887720,2330,840,890.0,10,50.0,45.0,3900,48064,250
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2007,Cassava,869000,9551960,109918,1336.4,26.9165420606833,56.79661095214213,20.430266866026365,9.0,7.5,168000000,56000000,16500000,240500000,36960000.0,12320000.0,3630000.0,52910000.0,60.89,4.34054958850607,24.6625772142283,77804901,2380,860,920.0,10,60.0,50.0,3950,43418,230
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2008,Cassava,880000,9808040,111455,1153.8,28.01573134763239,54.30202632496148,21.215275861739194,9.0,7.5,175000000,58000000,17000000,250000000,38500000.0,12760000.0,3740000.0,55000000.0,62.5,5.89698135295593,25.2797507802655,78717888,2420,880,950.0,10,70.0,55.0,4000,44582,240
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2009,Cassava,875600,9804080,111970,1230.4,27.45449830147177,62.590959205312295,19.97544533107426,9.0,7.5,182000000,60000000,17500000,259500000,40040000.0,13200000.0,3850000.0,57090000.0,65.2,4.56587654588848,26.7488545066519,79623758,2460,900,980.0,10,80.0,60.0,3980,44564,240
