Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2000,2000,ha,2850000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2000,2000,tonnes,7400000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2000,2000,hg/ha,25965,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2001,2001,ha,2880000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2001,2001,tonnes,7600000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2001,2001,hg/ha,26389,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2002,2002,ha,2910000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2002,2002,tonnes,7900000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2002,2002,hg/ha,27148,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2003,2003,ha,2950000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2003,2003,tonnes,8100000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2003,2003,hg/ha,27458,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2004,2004,ha,3000000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2004,2004,tonnes,8400000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2004,2004,hg/ha,28000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2005,2005,ha,3050000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2005,2005,tonnes,8500000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2005,2005,hg/ha,27869,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2006,2006,ha,3100000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2006,2006,tonnes,8600000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2006,2006,hg/ha,27742,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2007,2007,ha,3150000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2007,2007,tonnes,8800000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2007,2007,hg/ha,27937,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2008,2008,ha,3200000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2008,2008,tonnes,9100000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2008,2008,hg/ha,28438,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2009,2009,ha,3280000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2009,2009,tonnes,9300000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2009,2009,hg/ha,28354,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2010,2010,ha,3350000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2010,2010,tonnes,9500000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2010,2010,hg/ha,28358,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2011,2011,ha,3400000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2011,2011,tonnes,9700000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2011,2011,hg/ha,28529,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2012,2012,ha,3450000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2012,2012,tonnes,10000000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2012,2012,hg/ha,28986,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2013,2013,ha,3480000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2013,2013,tonnes,10200000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2013,2013,hg/ha,29310,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2014,2014,ha,3500000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2014,2014,tonnes,10200000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2014,2014,hg/ha,29143,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2015,2015,ha,3520000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2015,2015,tonnes,10300000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2015,2015,hg/ha,29261,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2016,2016,ha,3550000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2016,2016,tonnes,10400000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2016,2016,hg/ha,29296,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2017,2017,ha,3580000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2017,2017,tonnes,10600000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2017,2017,hg/ha,29609,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2018,2018,ha,3610000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2018,2018,tonnes,10700000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2018,2018,hg/ha,29640,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2019,2019,ha,3650000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2019,2019,tonnes,10900000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2019,2019,hg/ha,29863,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2020,2020,ha,3680000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2020,2020,tonnes,10900000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2020,2020,hg/ha,29620,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2021,2021,ha,3700000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2021,2021,tonnes,11100000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2021,2021,hg/ha,30000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2022,2022,ha,3720000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2022,2022,tonnes,11200000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2022,2022,hg/ha,30108,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,254,Oil palm fruit,2023,2023,ha,3740000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,254,Oil palm fruit,2023,2023,tonnes,11400000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,254,Oil palm fruit,2023,2023,hg/ha,30481,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2000,2000,ha,3100000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2000,2000,tonnes,32000000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2000,2000,hg/ha,103226,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2001,2001,ha,3200000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2001,2001,tonnes,34000000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2001,2001,hg/ha,106250,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2002,2002,ha,3380000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2002,2002,tonnes,37953000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2002,2002,hg/ha,112284,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2003,2003,ha,3570000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2003,2003,tonnes,40000000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2003,2003,hg/ha,112045,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2004,2004,ha,3720000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2004,2004,tonnes,43410000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2004,2004,hg/ha,116694,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2005,2005,ha,3820000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2005,2005,tonnes,45721000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2005,2005,hg/ha,119688,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2006,2006,ha,3900000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2006,2006,tonnes,48064000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2006,2006,hg/ha,123241,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2007,2007,ha,3950000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2007,2007,tonnes,43418000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2007,2007,hg/ha,109918,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2008,2008,ha,4000000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2008,2008,tonnes,44582000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2008,2008,hg/ha,111455,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2009,2009,ha,3980000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2009,2009,tonnes,44564000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2009,2009,hg/ha,111970,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2010,2010,ha,4010000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2010,2010,tonnes,45700000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2010,2010,hg/ha,113966,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2011,2011,ha,4050000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2011,2011,tonnes,52403000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2011,2011,hg/ha,129390,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2012,2012,ha,4090000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2012,2012,tonnes,54000000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2012,2012,hg/ha,131980,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2013,2013,ha,4120000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2013,2013,tonnes,54830000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2013,2013,hg/ha,133083,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2014,2014,ha,4130000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2014,2014,tonnes,57000000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2014,2014,hg/ha,138013,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2015,2015,ha,4150000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2015,2015,tonnes,59300000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2015,2015,hg/ha,142892,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2016,2016,ha,4160000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2016,2016,tonnes,59587000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2016,2016,hg/ha,143238,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2017,2017,ha,4180000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2017,2017,tonnes,59200000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2017,2017,hg/ha,141627,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2018,2018,ha,4200000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2018,2018,tonnes,59200000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2018,2018,hg/ha,140952,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2019,2019,ha,4250000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2019,2019,tonnes,60000000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2019,2019,hg/ha,141176,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2020,2020,ha,4260000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2020,2020,tonnes,60000000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2020,2020,hg/ha,140845,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2021,2021,ha,4280000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2021,2021,tonnes,61000000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2021,2021,hg/ha,142523,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2022,2022,ha,4300000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2022,2022,tonnes,61500000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2022,2022,hg/ha,143023,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,125,Cassava,2023,2023,ha,4330000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,125,Cassava,2023,2023,tonnes,62000000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,125,Cassava,2023,2023,hg/ha,143187,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,56,Maize,2000,2000,ha,4480000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,56,Maize,2000,2000,tonnes,4110000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,56,Maize,2000,2000,hg/ha,9174,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5312,Area harvested,56,Maize,2001,2001,ha,4590000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5510,Production,56,Maize,2001,2001,tonnes,4310000,F,FAO estimate
QCL,Crops and livestock products,159,Nigeria,5419,Yield,56,Maize,2001,2001,hg/ha,9390,F,FAO estimate
