year,type,production_tonnes,lower_80ci_tonnes,upper_80ci_tonnes
2000,actual,32000000,,
2001,actual,34000000,,
2002,actual,37953000,,
2003,actual,40000000,,
2004,actual,43410000,,
2005,actual,45721000,,
2006,actual,48064000,,
2007,actual,43418000,,
2008,actual,44582000,,
2009,actual,44564000,,
2010,actual,45700000,,
2011,actual,52403000,,
2012,actual,54000000,,
2013,actual,54830000,,
2014,actual,57000000,,
2015,actual,59300000,,
2016,actual,59587000,,
2017,actual,59200000,,
2018,actual,59200000,,
2019,actual,60000000,,
2020,actual,60000000,,
2021,actual,61000000,,
2022,actual,61500000,,
2023,actual,62000000,,
2024,forecast,62589504,60660828.0,64665139.0
2025,forecast,63168533,57086776.0,69982691.0
2026,forecast,63751314,52147859.0,77420232.0
