year,type,production_tonnes,lower_80ci_tonnes,upper_80ci_tonnes
2000,actual,4110000,,
2001,actual,4310000,,
2002,actual,5770000,,
2003,actual,7354000,,
2004,actual,6534000,,
2005,actual,7100000,,
2006,actual,7700000,,
2007,actual,7500000,,
2008,actual,7900000,,
2009,actual,8000000,,
2010,actual,8180000,,
2011,actual,9000000,,
2012,actual,9500000,,
2013,actual,9700000,,
2014,actual,9900000,,
2015,actual,10200000,,
2016,actual,10500000,,
2017,actual,10700000,,
2018,actual,11000000,,
2019,actual,11200000,,
2020,actual,11200000,,
2021,actual,11500000,,
2022,actual,11700000,,
2023,actual,12000000,,
2024,forecast,12126675,11530915.0,12741997.0
2025,forecast,12334531,10575397.0,14497749.0
2026,forecast,12545367,9425393.0,17211641.0
